FLEX,FLEX-NSGA2,GerryFair,GerryFairGB,LEX,NSGA2,Random
FLEX-NSGA2,9.3547807033763e-11,NA,NA,NA,NA,NA,NA
GerryFair,2.0451743501208e-33,1.57995790712448e-33,NA,NA,NA,NA,NA
GerryFairGB,2.1699921265282e-33,1.43617525226659e-33,1.06763391147413e-22,NA,NA,NA,NA
LEX,1,7.02821069714315e-11,2.07836366554152e-33,2.16741525857982e-33,NA,NA,NA
NSGA2,2.14920583638708e-07,1,2.13687734850514e-33,2.01588158263764e-33,1.55188600882268e-06,NA,NA
Random,1.16294143582608e-06,3.76273218233607e-23,9.19739918478987e-34,9.22530991352034e-34,1.95542836139875e-06,5.17660981611704e-21,NA
Tourn,1.82635053757494e-11,1,1.65558077953851e-33,1.51073512403955e-33,4.50035913402799e-12,0.502092248309062,8.56064127833707e-26
