FLEX,FLEX-NSGA2,GerryFair,GerryFairGB,LEX,NSGA2,Random
FLEX-NSGA2,2.43879648361733e-15,NA,NA,NA,NA,NA,NA
GerryFair,2.00477958376387e-33,1.34139459649174e-33,NA,NA,NA,NA,NA
GerryFairGB,2.09417898672122e-33,1.23137541105581e-33,1.25675946900775e-24,NA,NA,NA,NA
LEX,1,1.81045004157759e-15,2.05372472438048e-33,2.03569513301473e-33,NA,NA,NA
NSGA2,2.33432453773385e-09,0.204675806287479,2.05882442644441e-33,1.99365132708712e-33,2.70057028804445e-08,NA,NA
Random,0.000106869096418337,1.04804892043746e-26,7.58026464297127e-34,9.62258047957369e-34,8.43753709012864e-06,1.83385793935839e-23,NA
Tourn,2.41451371801985e-11,1,1.82244330598054e-33,1.71083160050016e-33,8.51890243599806e-12,1,6.02103913047895e-25
