FLEX,FLEX-NSGA2,GerryFair,GerryFairGB,LEX,NSGA2,Random
FLEX-NSGA2,1.04594291729931e-13,NA,NA,NA,NA,NA,NA
GerryFair,1.59892480268909e-31,4.03094361804975e-22,NA,NA,NA,NA,NA
GerryFairGB,5.68542315878814e-30,4.91116391276591e-17,0.000729741398707759,NA,NA,NA,NA
LEX,0.0231106965498076,2.15977422295817e-19,1.11515702891576e-32,4.56961753270399e-29,NA,NA,NA
NSGA2,4.47177340108526e-07,0.017640713579382,4.86624110434718e-27,5.78745701935763e-20,2.10227147393196e-12,NA,NA
Random,0.00476078990270859,5.83947907951867e-22,1.04373013917195e-32,8.92273483849516e-30,1,2.13303620487356e-17,NA
Tourn,2.85468646927891e-06,0.155634174698552,1.37403109094397e-25,4.54265021844248e-21,2.09101456906674e-11,1,1.67905087094538e-13
