dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.6948152141946868,,,feat_nsga2,18998,2549.974177367,True
adult,,,,1.6957212736860392,,,feat_nsga2,18998,2549.974177367,False
adult,,,,,,1.806091605977751,feat_nsga2,18998,2549.974177367,True
adult,,,,,,1.804808245385703,feat_nsga2,18998,2549.974177367,False
adult,,,,,1.8154054281693826,,feat_nsga2,18998,2549.974177367,True
adult,,,,,1.8130534562507874,,feat_nsga2,18998,2549.974177367,False
adult,1.6941975928113688,,,,,,feat_nsga2,18998,2549.974177367,True
adult,1.6956401439967543,,,,,,feat_nsga2,18998,2549.974177367,False
adult,,,1.8057725883995828,,,,feat_nsga2,18998,2549.974177367,True
adult,,,1.8044748797471342,,,,feat_nsga2,18998,2549.974177367,False
adult,,1.8151319269853385,,,,,feat_nsga2,18998,2549.974177367,True
adult,,1.8129344792878093,,,,,feat_nsga2,18998,2549.974177367,False
