dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.7874060457959557,,,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,,,,1.7765728981800326,,,feat_random_p100_g0,15860,370.71468291499997,False
lawschool,,,,,,1.8616261983687319,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,,,,,,1.8679710570531753,feat_random_p100_g0,15860,370.71468291499997,False
lawschool,,,,,1.861557551331842,,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,,,,,1.8681735368236587,,feat_random_p100_g0,15860,370.71468291499997,False
lawschool,1.7877798108111504,,,,,,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,1.7773125863630308,,,,,,feat_random_p100_g0,15860,370.71468291499997,False
lawschool,,,1.861563147959155,,,,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,,,1.868834971552474,,,,feat_random_p100_g0,15860,370.71468291499997,False
lawschool,,1.8616851003229213,,,,,feat_random_p100_g0,15860,370.71468291499997,True
lawschool,,1.8686644416010774,,,,,feat_random_p100_g0,15860,370.71468291499997,False
