dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.787084578875844,,,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,,,,1.7798879454087495,,,feat_random_p100_g0,18313,362.34970288000005,False
lawschool,,,,,,1.868148227396586,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,,,,,,1.868264012445849,feat_random_p100_g0,18313,362.34970288000005,False
lawschool,,,,,1.8679669944491228,,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,,,,,1.8681663002189033,,feat_random_p100_g0,18313,362.34970288000005,False
lawschool,1.787847604731688,,,,,,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,1.780296563959725,,,,,,feat_random_p100_g0,18313,362.34970288000005,False
lawschool,,,1.8686059283436913,,,,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,,,1.8684971642863517,,,,feat_random_p100_g0,18313,362.34970288000005,False
lawschool,,1.8684603336107373,,,,,feat_random_p100_g0,18313,362.34970288000005,True
lawschool,,1.8683587012978156,,,,,feat_random_p100_g0,18313,362.34970288000005,False
