dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7968242223644295,,,feat_tourn,14289,4384.560511629,True
adult,,,,1.8026017728076313,,,feat_tourn,14289,4384.560511629,False
adult,,,,,,1.90268332644393,feat_tourn,14289,4384.560511629,True
adult,,,,,,1.8732291956349263,feat_tourn,14289,4384.560511629,False
adult,,,,,1.903159256979229,,feat_tourn,14289,4384.560511629,True
adult,,,,,1.8735079258143923,,feat_tourn,14289,4384.560511629,False
adult,1.7992191039796486,,,,,,feat_tourn,14289,4384.560511629,True
adult,1.8040696139821004,,,,,,feat_tourn,14289,4384.560511629,False
adult,,,1.9026419505300418,,,,feat_tourn,14289,4384.560511629,True
adult,,,1.8779816626908739,,,,feat_tourn,14289,4384.560511629,False
adult,,1.9031178781251348,,,,,feat_tourn,14289,4384.560511629,True
adult,,1.87826280902465,,,,,feat_tourn,14289,4384.560511629,False
