dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7973192718459163,,,feat_flex2,19863,4143.390260019,True
adult,,,,1.8178421643336287,,,feat_flex2,19863,4143.390260019,False
adult,,,,,,1.8625914899404066,feat_flex2,19863,4143.390260019,True
adult,,,,,,1.889104101778234,feat_flex2,19863,4143.390260019,False
adult,,,,,1.8672039829056828,,feat_flex2,19863,4143.390260019,True
adult,,,,,1.8929978824962366,,feat_flex2,19863,4143.390260019,False
adult,1.7989952245007728,,,,,,feat_flex2,19863,4143.390260019,True
adult,1.8198565939990798,,,,,,feat_flex2,19863,4143.390260019,False
adult,,,1.8630561990343195,,,,feat_flex2,19863,4143.390260019,True
adult,,,1.8896064973452242,,,,feat_flex2,19863,4143.390260019,False
adult,,1.867559590227572,,,,,feat_flex2,19863,4143.390260019,True
adult,,1.8934397282836635,,,,,feat_flex2,19863,4143.390260019,False
