dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.737079009604278,,,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,,,,1.7401215193948174,,,feat_flex2_nsga2,18313,6309.890829531,False
lawschool,,,,,,1.7988771889431838,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,,,,,,1.8022175024748337,feat_flex2_nsga2,18313,6309.890829531,False
lawschool,,,,,1.7996366817988967,,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,,,,,1.8028639887160123,,feat_flex2_nsga2,18313,6309.890829531,False
lawschool,1.7386256237858682,,,,,,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,1.7405747350590746,,,,,,feat_flex2_nsga2,18313,6309.890829531,False
lawschool,,,1.7995718604312212,,,,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,,,1.8021250925488854,,,,feat_flex2_nsga2,18313,6309.890829531,False
lawschool,,1.7997112773229733,,,,,feat_flex2_nsga2,18313,6309.890829531,True
lawschool,,1.802455467879699,,,,,feat_flex2_nsga2,18313,6309.890829531,False
