dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
lawschool,,,,1.2294606580023884,,,gerryfair_xgb,20300,1222.388069264,True
lawschool,,,,1.2971633846866093,,,gerryfair_xgb,20300,1222.388069264,False
lawschool,,,,,,1.9178324859998228,gerryfair_xgb,20300,1222.388069264,True
lawschool,,,,,,1.838546051795137,gerryfair_xgb,20300,1222.388069264,False
lawschool,,,,,1.9445019374304733,,gerryfair_xgb,20300,1222.388069264,True
lawschool,,,,,1.8811171779970717,,gerryfair_xgb,20300,1222.388069264,False
lawschool,1.2256765946883967,,,,,,gerryfair_xgb,20300,1222.388069264,True
lawschool,1.2914681095671614,,,,,,gerryfair_xgb,20300,1222.388069264,False
lawschool,,,1.9135483921434302,,,,gerryfair_xgb,20300,1222.388069264,True
lawschool,,,1.831292398758509,,,,gerryfair_xgb,20300,1222.388069264,False
lawschool,,1.940845951157185,,,,,gerryfair_xgb,20300,1222.388069264,True
lawschool,,1.8744844518098778,,,,,gerryfair_xgb,20300,1222.388069264,False
