dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.6663386441465282,,,gerryfair_xgb,4719,1546.0583209029999,True
communities,,,,1.7076971029992412,,,gerryfair_xgb,4719,1546.0583209029999,False
communities,,,,,,1.926526552159021,gerryfair_xgb,4719,1546.0583209029999,True
communities,,,,,,1.6225636769812812,gerryfair_xgb,4719,1546.0583209029999,False
communities,,,,,1.9551534898076506,,gerryfair_xgb,4719,1546.0583209029999,True
communities,,,,,1.7587599614153404,,gerryfair_xgb,4719,1546.0583209029999,False
communities,1.6730190571715147,,,,,,gerryfair_xgb,4719,1546.0583209029999,True
communities,1.7141587900168735,,,,,,gerryfair_xgb,4719,1546.0583209029999,False
communities,,,1.9342500680945331,,,,gerryfair_xgb,4719,1546.0583209029999,True
communities,,,1.6287032310207052,,,,gerryfair_xgb,4719,1546.0583209029999,False
communities,,1.9629917721910306,,,,,gerryfair_xgb,4719,1546.0583209029999,True
communities,,1.7654148631481181,,,,,gerryfair_xgb,4719,1546.0583209029999,False
