dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7940477615612465,,,feat_flex2,20300,6370.431322883,True
adult,,,,1.7914727798897472,,,feat_flex2,20300,6370.431322883,False
adult,,,,,,1.8803321504182482,feat_flex2,20300,6370.431322883,True
adult,,,,,,1.8691828216710826,feat_flex2,20300,6370.431322883,False
adult,,,,,1.8849120698979598,,feat_flex2,20300,6370.431322883,True
adult,,,,,1.8702403434415482,,feat_flex2,20300,6370.431322883,False
adult,1.7963157847269875,,,,,,feat_flex2,20300,6370.431322883,True
adult,1.7945273294452733,,,,,,feat_flex2,20300,6370.431322883,False
adult,,,1.880810817836518,,,,feat_flex2,20300,6370.431322883,True
adult,,,1.8695070064815482,,,,feat_flex2,20300,6370.431322883,False
adult,,1.8855291664517773,,,,,feat_flex2,20300,6370.431322883,True
adult,,1.8705117079021274,,,,,feat_flex2,20300,6370.431322883,False
