dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
communities,,,,1.8353216232736034,,,feat_flex2_nsga2,2917,8801.496122441,True
communities,,,,1.7921183786749963,,,feat_flex2_nsga2,2917,8801.496122441,False
communities,,,,,,1.8051598094020278,feat_flex2_nsga2,2917,8801.496122441,True
communities,,,,,,1.7293404391926157,feat_flex2_nsga2,2917,8801.496122441,False
communities,,,,,1.804837380915507,,feat_flex2_nsga2,2917,8801.496122441,True
communities,,,,,1.7288692356527582,,feat_flex2_nsga2,2917,8801.496122441,False
communities,1.836028396967986,,,,,,feat_flex2_nsga2,2917,8801.496122441,True
communities,1.7936189944728096,,,,,,feat_flex2_nsga2,2917,8801.496122441,False
communities,,,1.8192946630979794,,,,feat_flex2_nsga2,2917,8801.496122441,True
communities,,,1.7530175527673513,,,,feat_flex2_nsga2,2917,8801.496122441,False
communities,,1.8189740648981985,,,,,feat_flex2_nsga2,2917,8801.496122441,True
communities,,1.752548255336976,,,,,feat_flex2_nsga2,2917,8801.496122441,False
