dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.8057011613387393,,,feat_lex,9675,4786.865425207,True
adult,,,,1.7930486835655948,,,feat_lex,9675,4786.865425207,False
adult,,,,,,1.8682309289047372,feat_lex,9675,4786.865425207,True
adult,,,,,,1.8842729667217495,feat_lex,9675,4786.865425207,False
adult,,,,,1.8688800521124462,,feat_lex,9675,4786.865425207,True
adult,,,,,1.885560696002368,,feat_lex,9675,4786.865425207,False
adult,1.8081876467869766,,,,,,feat_lex,9675,4786.865425207,True
adult,1.7947405394559999,,,,,,feat_lex,9675,4786.865425207,False
adult,,,1.869566481673276,,,,feat_lex,9675,4786.865425207,True
adult,,,1.8844467776572327,,,,feat_lex,9675,4786.865425207,False
adult,,1.8694136454369692,,,,,feat_lex,9675,4786.865425207,True
adult,,1.8859174739178455,,,,,feat_lex,9675,4786.865425207,False
