dataset,hv(auditor_fn_violation:accuracy),hv(auditor_fn_violation:auc_prc),hv(auditor_fn_violation:ave_precision_score),hv(auditor_fp_violation:accuracy),hv(auditor_fp_violation:auc_prc),hv(auditor_fp_violation:ave_precision_score),method,seed,time,train
adult,,,,1.7680205327100433,,,feat_flex2_nsga2,20404,6220.844720962001,True
adult,,,,1.765805882836076,,,feat_flex2_nsga2,20404,6220.844720962001,False
adult,,,,,,1.8787227208346946,feat_flex2_nsga2,20404,6220.844720962001,True
adult,,,,,,1.85229802616336,feat_flex2_nsga2,20404,6220.844720962001,False
adult,,,,,1.8800217571239755,,feat_flex2_nsga2,20404,6220.844720962001,True
adult,,,,,1.8533647508362703,,feat_flex2_nsga2,20404,6220.844720962001,False
adult,1.7673529891190916,,,,,,feat_flex2_nsga2,20404,6220.844720962001,True
adult,1.7667227308338176,,,,,,feat_flex2_nsga2,20404,6220.844720962001,False
adult,,,1.8787269289893467,,,,feat_flex2_nsga2,20404,6220.844720962001,True
adult,,,1.8524605217199228,,,,feat_flex2_nsga2,20404,6220.844720962001,False
adult,,1.880256942908232,,,,,feat_flex2_nsga2,20404,6220.844720962001,True
adult,,1.8534791473017769,,,,,feat_flex2_nsga2,20404,6220.844720962001,False
